,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,FKA-Rigid Body 001_Marker 001,FKA-Rigid Body 001_Marker 001,FKA-Rigid Body 001_Marker 001,FKA-Rigid Body 001_Marker 002,FKA-Rigid Body 001_Marker 002,FKA-Rigid Body 001_Marker 002,FKA-Rigid Body 001_Marker 003,FKA-Rigid Body 001_Marker 003,FKA-Rigid Body 001_Marker 003,FKA-Rigid Body 001_Marker 004,FKA-Rigid Body 001_Marker 004,FKA-Rigid Body 001_Marker 004,Unlabeled 1028,Unlabeled 1028,Unlabeled 1028,Unlabeled 1029,Unlabeled 1029,Unlabeled 1029,Unlabeled 1030,Unlabeled 1030,Unlabeled 1030
,ID,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,2869709FF64611EE597AB3C6E7107EB3,"A2135C42DBFF11EF597AB3C6E71092B3","A2135C42DBFF11EF597AB3C6E71092B3","A2135C42DBFF11EF597AB3C6E71092B3","A2135C41DBFF11EF597AB3C6E71092B3","A2135C41DBFF11EF597AB3C6E71092B3","A2135C41DBFF11EF597AB3C6E71092B3","A2135C40DBFF11EF597AB3C6E71092B3","A2135C40DBFF11EF597AB3C6E71092B3","A2135C40DBFF11EF597AB3C6E71092B3","A2135C43DBFF11EF597AB3C6E71092B3","A2135C43DBFF11EF597AB3C6E71092B3","A2135C43DBFF11EF597AB3C6E71092B3","17F4F921012DBFD11EF","17F4F921012DBFD11EF","17F4F921012DBFD11EF","1804F921012DBFD11EF","1804F921012DBFD11EF","1804F921012DBFD11EF","1814F921012DBFD11EF","1814F921012DBFD11EF","1814F921012DBFD11EF"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
24,0.800000,0.923878,-0.365256,0.110982,-0.026858,-156.418930,106.289520,-6.625541,-108.067642,65.583000,-28.039881,-190.363480,147.962006,-62.851765,-208.925232,148.258972,25.076441,-118.099022,63.237434,39.190357,,,,,,,,,
25,0.833333,0.923856,-0.363110,0.117924,-0.027133,-155.391373,105.826744,-2.459899,-106.546478,65.243767,-23.080557,-188.731689,147.003143,-59.375294,-208.578964,148.003235,28.542568,-117.553993,63.054665,44.088776,,,,,,,,,
26,0.866667,0.923036,-0.362380,0.126265,-0.027239,-154.702820,105.158333,2.125084,-105.539062,64.430283,-17.464725,-187.108215,145.982025,-55.691887,-208.422424,147.486832,32.204830,-117.620560,62.784107,49.464375,,,,,,,,,
27,0.900000,0.922449,-0.360182,0.135945,-0.029592,-153.877167,104.692657,6.717209,-104.122292,64.045433,-11.718520,-185.425980,145.317078,-51.794720,-208.202133,146.812576,35.376595,-117.590508,62.565506,54.959919,,,,,,,,,
28,0.933333,0.921392,-0.359015,0.145423,-0.031582,-152.804199,104.348213,11.826093,-102.698776,63.704445,-5.608799,-183.214050,144.733200,-47.551891,-207.712494,146.389221,39.408237,-117.430374,62.525085,61.028503,,,,,,,,,
29,0.966667,0.919774,-0.359493,0.154064,-0.032333,-152.100677,103.750542,16.947765,-102.097977,62.837997,0.762088,-181.280746,144.022263,-43.266575,-207.410858,145.853165,43.531128,-117.464981,62.227600,66.736359,,,,,,,,,
30,1.000000,0.918942,-0.357162,0.163524,-0.035216,-151.254059,103.412643,22.359331,-100.847839,62.752151,7.169898,-179.175995,143.262146,-38.290512,-207.393494,145.526718,47.755936,-117.456238,62.167103,72.807571,,,,,,,,,
31,1.033333,0.917026,-0.356367,0.174254,-0.041244,-150.457855,102.879402,27.720997,-99.594353,62.213726,13.546362,-176.854431,142.962387,-32.850456,-207.401825,144.938904,51.505390,-117.731110,61.447174,78.932472,,,,,,,,,
32,1.066667,0.915882,-0.354394,0.183599,-0.043093,-149.735214,102.530182,33.317883,-98.656464,61.688679,20.151426,-174.796509,142.495392,-27.666056,-207.462555,144.538284,55.873226,-117.673347,61.569138,85.361588,,,,,,,,,
33,1.100000,0.913164,-0.355022,0.194270,-0.048470,-149.229675,101.791985,39.036995,-97.795547,61.023129,27.272303,-172.919876,141.774338,-22.328568,-207.306976,143.990311,60.268166,-118.580238,60.590221,91.372475,,,,,,,,,
